admin,amount,Destination Organization,Destination Location
Croatia,97391,,
,49391,World Health Organization,
,48000,United Nations Children's Fund,Mali
Cuba,,"Sierra Leone, Government of",Sierra Leone
Cyprus,6350,Ebola Response Multi-Partner Trust Fund,
Czech Republic,815509,,
,203998,United Nations Children's Fund,
,203998,Ebola Response Multi-Partner Trust Fund,
,129155,International Committee of the Red Cross,Liberia
,136178,International Federation of Red Cross and Red Crescent Societies,Sierra Leone
,142180,Médecins sans Frontières,Liberia
Denmark,34747290,,
,24172,World Food Programme,
,72855,World Food Programme,
,176677,World Food Programme,
,91091,Danish Red Cross,Guinea
,3413551,World Health Organization,
,132532,Save the Children,
,128008,Save the Children,
,489179,,
,136542,Danish Refugee Council,
,497288,,
,72542,Danish Red Cross,Liberia
,66690,World Food Programme,
,1767409,World Food Programme,Liberia
,385549,World Food Programme,
,182249,Médecins sans Frontières,Sierra Leone
,114154,International Health Partners,Liberia
,1682086,UN Mission for Ebola Emergency Response,
,188813,Danish Red Cross,Liberia
,3609626,"Ghana, Government of",Ghana
,1737968,,
,3609626,,Ghana
,17584,World Food Programme,
,47423,Save the Children,Liberia
,67667,Adventist Development and Relief Agency,Liberia
,5100000,"Sierra Leone, Government of",Sierra Leone
,1700000,,
,1700000,"Ghana, Government of",Ghana
,5042695,Ebola Response Multi-Partner Trust Fund,
,819672,World Health Organization,Mali
,371030,United Nations Children's Fund,Guinea
,52952,United Nations Children's Fund,
,158855,United Nations Children's Fund,Benin
,211807,United Nations Children's Fund,Burkina Faso
,137674,United Nations Children's Fund,Côte d'Ivoire
,158855,United Nations Children's Fund,Ghana
,211807,United Nations Children's Fund,Guinea-Bissau
,211807,United Nations Children's Fund,Mali
,158855,United Nations Children's Fund,Senegal
Ecuador,300000,World Health Organization,
Estonia,206862,,
,65876,World Health Organization,
,13755,World Health Organization,
,47994,Private (individuals & organizations),Sierra Leone
,50216,Ebola Response Multi-Partner Trust Fund,
,29021,"Sierra Leone, Government of",Sierra Leone
Finland,14085274,,
,371156,ACT Alliance / Finn Church Aid,
,1239157,World Food Programme,
,252207,ACT Alliance / Finn Church Aid,
,1168996,International Federation of Red Cross and Red Crescent Societies,
,8824590,Ebola Response Multi-Partner Trust Fund,
,374332,International Federation of Red Cross and Red Crescent Societies,
,1219512,International Federation of Red Cross and Red Crescent Societies,
,635324,World Health Organization,
,136914773,,
,12055336,"Cote d'Ivoire, Government of",Côte d'Ivoire
,527009,"Cameroon, Government of",Cameroon
,662580,UN Mission for Ebola Emergency Response,
,42921200,,Guinea
,8829921,,Guinea
,4036830,NGOs | UN Agencies,Guinea
,12760906,,Guinea
,251112,,Mali
,1472400,,
,6353240,,Guinea
,674764,,Guinea
,3681000,Women And Health Alliance,Guinea
,1227000,Aviation Sans Frontieres France,Guinea
,4785300,"Liberia, Government of",Liberia
,6257822,Fondation Mérieux,
,12270000,,Guinea
,635324,World Food Programme,Guinea
,5082592,,Guinea
,11043000,French Red Cross,Guinea
,16506,Private (individuals & organizations),Guinea
,335570,World Food Programme,Guinea
,78899,Private (individuals & organizations),Guinea
,30303,Private (individuals & organizations),Guinea
,51383,Private (individuals & organizations),Guinea
,206327,French Red Cross,Guinea
,668449,World Health Organization,
Georgia,25000,Ebola Response Multi-Partner Trust Fund,
Germany,179928248,,
,267380,World Health Organization,
,2503129,International Committee of the Red Cross,Liberia
,890930,Save the Children,Sierra Leone
,11435833,World Health Organization,
,495663,United Nations Children's Fund,Côte d'Ivoire
,2881861,United Nations Children's Fund,Guinea
,4775903,United Nations Children's Fund,Liberia
,3215486,United Nations Children's Fund,Sierra Leone
,107939,United Nations Children's Fund,Ghana
,482323,United Nations Children's Fund,Guinea-Bissau
,377788,United Nations Children's Fund,Mali
,769040,United Nations Children's Fund,
,6260000,Ebola Response Multi-Partner Trust Fund,
,5346933,Ebola Response Multi-Partner Trust Fund,
,321919,A.I.M.E! International e.V. (Deutschland),Guinea
,345781,Médecins sans Frontières,Guinea
,56814,Private (individuals & organizations),Sierra Leone
,3981909,Technisches Hilfswerk (THW),Sierra Leone
,5044136,World Food Programme,Liberia
,1261034,World Food Programme,Liberia
,24055786,World Food Programme,Liberia
,1089325,Deutsche Welthungerhilfe e.V. (German Agro Action),Sierra Leone
,260870,Deutsche Welthungerhilfe e.V. (German Agro Action),Sierra Leone
,372986,United Nations Children's Fund,Mali
,1905972,Plan International,
,2017654,Caritas Germany (DCV),Liberia
,2648172,Médecins du Monde,Côte d'Ivoire
,179881,Arbeiter-Samariter-Bund Deutschland e.V,Gambia
,13372593,,
,1682576,OXFAM International,Sierra Leone
,668449,Médecins sans Frontières,Sierra Leone
,15635561,German Red Cross,Sierra Leone
,819672,Help - Hilfe zur Selbsthilfe e.V.,Mali
,1905972,Plan International,Liberia
,3165822,Private (individuals & organizations),Ghana
,3450980,United Nations Children's Fund,Guinea
,3450980,United Nations Children's Fund,Liberia
,3450980,United Nations Children's Fund,Sierra Leone
,1411765,United Nations Children's Fund,
,2493208,World Food Programme,
,61426,World Food Programme,
,2522068,Deutsche Gesellschaft für Internationale Zusammenarbeit,Liberia
,1891551,Deutsche Gesellschaft für Internationale Zusammenarbeit,Mali
,262910,Humedica,Liberia
,1773018,Diakonie Katastrophenhilfe,Liberia
,139394,German Doctors e.V.,Sierra Leone
,870113,Plan International,Mali
,828619,SOS Kinderdorf,Sierra Leone
,1891551,Diakonie Katastrophenhilfe,Liberia
,1695980,Diakonie Katastrophenhilfe,Sierra Leone
,4368941,Deutsche Welthungerhilfe e.V. (German Agro Action),Sierra Leone
,26350461,United Nations Children's Fund,Liberia
,346784,Arche Nova E.V. - Initiative for People in Need,Mali
,14235,World Food Programme,
,14235,World Food Programme,
,553250,World Health Organization,
,1317523,World Health Organization,
,165184,World Food Programme,
Greece,596944,,
,267380,World Health Organization,
,39526,World Food Programme,
,252207,World Health Organization,
,37831,World Food Programme,Guinea
Guyana,50363,Ebola Response Multi-Partner Trust Fund,
Holy See (Vatican City State),37360,World Food Programme,
Hungary,81480,,
,14238,Artemisszió Foundation,Sierra Leone
,1943,,
,1767,,
,63532,World Health Organization,
Iceland,225000,,
,125000,United Nations Children's Fund,
,50000,United Nations Children's Fund,
,50000,World Food Programme,
India,12705600,,
,500000,World Health Organization,
,50000,"Liberia, Government of",Liberia
,50000,"Sierra Leone, Government of",Sierra Leone
,55600,"Liberia, Government of",Liberia
,50000,,Guinea
,2000000,,
,10000000,Ebola Response Multi-Partner Trust Fund,
Ireland,5724201,,
,832232,United Nations Children's Fund,Sierra Leone
,527009,International Medical Corps,Liberia
,291173,Plan International,Sierra Leone
,1007905,International Medical Corps,Sierra Leone
,1025033,World Vision International,Sierra Leone
,31133,OXFAM,Sierra Leone
,31289,Plan International,Guinea
,47610,Concern Worldwide,Liberia
,1233100,Ebola Response Multi-Partner Trust Fund,
,68027,Concern Worldwide,Sierra Leone
,308465,,Sierra Leone
,26429,World Food Programme,
,54348,World Vision International,Sierra Leone
,108696,GOAL,Sierra Leone
,131752,International Rescue Committee,Sierra Leone
Israel,9270000,,
,500000,World Health Organization,
,20000,World Food Programme,
,,"Sierra Leone, Government of",Sierra Leone
,,"Liberia, Government of",Liberia
,,,
,8750000,Ebola Response Multi-Partner Trust Fund,
Italy,16732626,,
,275103,World Health Organization,
,2515883,,
,1124859,World Food Programme,Sierra Leone
,1122334,United Nations Children's Fund,Sierra Leone
,1251564,United Nations Children's Fund,Sierra Leone
,1261034,International Federation of Red Cross and Red Crescent Societies,Sierra Leone
,1581028,"Sierra Leone, Government of",Sierra Leone
,1245330,World Food Programme,Sierra Leone
,2244669,NGOs (details not yet provided),Sierra Leone
,3783102,"Sierra Leone, Government of",Sierra Leone
,301370,World Health Organization,
,26350,NGOs (details not yet provided),Sierra Leone
Japan,78941052,,
,1000000,United Nations Children's Fund,Guinea
,650000,United Nations Children's Fund,Ghana
,1100000,United Nations Children's Fund,Liberia
,1000000,United Nations Children's Fund,Mali
,500000,United Nations Children's Fund,Togo
,500000,United Nations Children's Fund,Senegal
,1000000,United Nations Children's Fund,Sierra Leone
,1000000,United Nations Children's Fund,Sierra Leone
,,,
,5000000,World Health Organization,
,1000000,World Food Programme,
,2000000,World Food Programme,
,2000000,World Food Programme,
,1000000,World Health Organization,
,667995,World Food Programme,
,300000,World Food Programme,
,300000,World Food Programme,
,400000,World Food Programme,
,,,
,,,
,4020000,"Sierra Leone, Government of",Sierra Leone
,500000,UN Women,
,3000000,International Federation of Red Cross and Red Crescent Societies,
,523602,United Nations Children's Fund,Guinea
,1500000,United Nations Children's Fund,Guinea
,2000000,United Nations Children's Fund,Sierra Leone
,2000000,United Nations Children's Fund,Liberia
,500000,United Nations Children's Fund,
,294660,World Food Programme,
,4020000,,Guinea
,500000,Office for the Coordination of Humanitarian Affairs,
,800000,,
,1000000,World Food Programme,
,700000,World Food Programme,
,500000,United Nations Children's Fund,Sierra Leone
,3317227,,Guinea
,,,
,2866779,World Food Programme,
,1800000,World Health Organization,Ghana
,3900000,World Health Organization,Guinea
,750000,World Health Organization,Benin
,620000,World Health Organization,Nigeria
,1000000,World Food Programme,
,963587,World Food Programme,
,1796916,World Food Programme,
,7500000,World Health Organization,
,5940000,Ebola Response Multi-Partner Trust Fund,
,100000,United Nations Children's Fund,Liberia
,100000,United Nations Children's Fund,Sierra Leone
,850000,World Health Organization,
,470286,World Food Programme,
,310000,,Guinea
,310000,"Liberia, Government of",Liberia
,300000,"Sierra Leone, Government of",Sierra Leone
,,,Liberia
,150000,International Federation of Red Cross and Red Crescent Societies,Guinea
,150000,International Federation of Red Cross and Red Crescent Societies,Sierra Leone
,150000,International Federation of Red Cross and Red Crescent Societies,Liberia
,4020000,"Liberia, Government of",Liberia
,300000,World Health Organization,
Kazakhstan,50000,Ebola Response Multi-Partner Trust Fund,
Kenya,1000000,,
South Korea,6600000,,
,1000000,World Health Organization,
,50000,United Nations Children's Fund,Liberia
,450000,World Health Organization,
,5000000,Ebola Response Multi-Partner Trust Fund,
,50000,World Health Organization,
,50000,World Health Organization,Sierra Leone
Kuwait,5000000,World Health Organization,
Latvia,48876,Ebola Response Multi-Partner Trust Fund,
Liechtenstein,52632,Médecins sans Frontières,
Lithuania,24237,,
,11062,World Food Programme,
,13175,World Food Programme,
Luxembourg,1299260,,
,22941,,
,121951,Luxembourg Red Cross,
,126103,Luxembourg Red Cross,
,317662,United Nations High Commissioner for Refugees,
,248940,Ebola Response Multi-Partner Trust Fund,
,133689,World Health Organization,
,38119,Private (individuals & organizations),
,19763,Luxembourg Red Cross,Senegal
,19763,Luxembourg Red Cross,Burundi
,52701,Luxembourg Red Cross,Burkina Faso
,19763,Luxembourg Red Cross,Mali
,19763,Luxembourg Red Cross,Niger
,26350,Luxembourg Red Cross,Benin
,131752,World Food Programme,
Malaysia,100000,Ebola Response Multi-Partner Trust Fund,
,,,
Malta,62295,Ebola Response Multi-Partner Trust Fund,
Mauritius,20000,Ebola Response Multi-Partner Trust Fund,
Mexico,1000000,World Health Organization,
Monaco,330350,,
,66845,World Health Organization,
,263505,International Federation of Red Cross and Red Crescent Societies,
Montenegro,5000,Ebola Response Multi-Partner Trust Fund,
Namibia,1000000,,
Netherlands,72866893,,
,658762,Médecins sans Frontières,Guinea
,1251564,Médecins sans Frontières,Sierra Leone
,12127379,OXFAM Netherlands (NOVIB),
,1245330,United Nations Children's Fund,Sierra Leone
,311333,United Nations Children's Fund,Nigeria
,186800,United Nations Children's Fund,Senegal
,871731,United Nations Children's Fund,Mali
,124533,United Nations Children's Fund,Benin
,249066,United Nations Children's Fund,Burkina Faso
,124533,United Nations Children's Fund,Côte d'Ivoire
,124534,United Nations Children's Fund,Ghana
,1245330,United Nations Children's Fund,Guinea
,498132,United Nations Children's Fund,Guinea-Bissau
,1245330,United Nations Children's Fund,Liberia
,5659533,United Nations Children's Fund,Guinea
,6795860,United Nations Children's Fund,Liberia
,7724607,United Nations Children's Fund,Sierra Leone
,131752,Netherlands Red Cross,Nigeria
,187879,Netherlands Red Cross,Sierra Leone
,52701,Netherlands Red Cross,Guinea
,52701,Netherlands Red Cross,Côte d'Ivoire
,668099,World Food Programme,
,625782,United Nations Children's Fund,Ghana
,133658,International Federation of Red Cross and Red Crescent Societies,Sierra Leone
,6350529,International Procurement Agency,
,17534943,,
,6684492,World Health Organization,
New Zealand,1588160,,
,418760,World Health Organization,
,1169400,Ebola Response Multi-Partner Trust Fund,
Nigeria,3500000,,
Norway,45797564,,
,2827597,African Union,
,961688,World Health Organization,Ghana
,165000,Plan International,Liberia
,7982120,World Health Organization,
,1117497,World Health Organization,
,1085776,International Federation of Red Cross and Red Crescent Societies,
,775555,Norwegian Refugee Council,
,9306654,,
,2008900,World Food Programme,
,2933842,World Food Programme,
,80747,World Food Programme,
,917515,United Nations Children's Fund,Guinea
,917516,United Nations Children's Fund,Liberia
,917516,United Nations Children's Fund,Sierra Leone
,1085776,International Federation of Red Cross and Red Crescent Societies,
,798212,Médecins sans Frontières - Norway,
,387777,Clinton Health Access Initiative,
,2061117,Ebola Response Multi-Partner Trust Fund,
,1131039,Médecins sans Frontières - Norway,
,930665,Norwegian Refugee Council,
,670466,Médecins sans Frontières - Norway,Guinea
,1596424,World Health Organization,
,5138165,,Sierra Leone
Philippines,4041742,,
,2041742,Ebola Response Multi-Partner Trust Fund,
,2000000,World Health Organization,
Poland,145711,World Health Organization,
Portugal,1964816,,
,224467,World Health Organization,
,21527,,Guinea
,19259,,
,187735,,Guinea-Bissau
,17700,,
,250313,World Health Organization,
,50468,,Guinea-Bissau
,676717,International Network for Environmental Management,Guinea-Bissau
,2503,,Guinea-Bissau
,483834,,Guinea-Bissau
,30293,Ebola Response Multi-Partner Trust Fund,
Qatar,1000000,World Health Organization,
Romania,40000,Ebola Response Multi-Partner Trust Fund,
Russia,28500000,,
,500000,World Food Programme,
,2000000,World Health Organization,
,2000000,United Nations Children's Fund,
,3000000,World Bank,
,1000000,Ebola Response Multi-Partner Trust Fund,
,20000000,,
Saudi Arabia,35590738,,
,200000,Saudi Arabian Red Crescent Society,Guinea
,200000,Saudi Arabian Red Crescent Society,Guinea
,190738,World Food Programme,
,35000000,,
,,,
Singapore,188462,,
,150000,World Health Organization,
,38462,World Health Organization,
Slovakia,20053,World Health Organization,
Slovenia,38119,World Health Organization,
South Africa,325725,World Health Organization,
,,,
Spain,13620318,,
,197628,Spanish Red Cross,Sierra Leone
,133690,World Health Organization,
,1877347,International Federation of Red Cross and Red Crescent Societies,Liberia
,4505632,International Federation of Red Cross and Red Crescent Societies,Sierra Leone
,375469,Spanish Red Cross,Sierra Leone
,68776,ACF - Spain,Guinea
,250313,Save the Children,Guinea
,438048,Spanish Red Cross,Guinea
,187735,Spanish Red Cross,Senegal
,312891,Spanish Red Cross,Senegal
,312891,Spanish Red Cross,Guinea-Bissau
,213904,"Liberia, Government of",Liberia
,213904,"Sierra Leone, Government of",Sierra Leone
,187735,World Food Programme,
,378310,ACF - Spain,Guinea
,315322,Medicos del Mundo,Sierra Leone
,40978,International Federation of Red Cross and Red Crescent Societies,Guinea-Bissau
,876095,International Federation of Red Cross and Red Crescent Societies,
,625782,Medicos del Mundo,
,526066,Save the Children,Guinea
,267880,African Medical and Research Foundation,Guinea
,53508,International Federation of Red Cross and Red Crescent Societies,Mali
,13305,International Federation of Red Cross and Red Crescent Societies,Côte d'Ivoire
,561167,World Food Programme,Sierra Leone
,60160,Save the Children,Liberia
,625782,World Food Programme,
Sudan,892900,World Health Organization,Sudan
Sweden,87385266,,
,297910,Plan International,Liberia
,6585446,World Health Organization,
,56459,World Food Programme,
,144425,Action Contre la Faim,
,74522,World Food Programme,
,130674,Swedish Red Cross,Sierra Leone
,24306,Swedish Civil Contingencies Agency (MSB),
,540833,Swedish Civil Contingencies Agency (MSB),
,2762049,World Food Programme,
,1000000,United Nations Children's Fund,Guinea
,1000000,United Nations Children's Fund,Liberia
,1000000,United Nations Children's Fund,Sierra Leone
,993345,United Nations Children's Fund,
,200000,United Nations Children's Fund,Côte d'Ivoire
,200000,United Nations Children's Fund,Gambia
,402812,United Nations Children's Fund,Ghana
,200000,United Nations Children's Fund,Mali
,200000,United Nations Children's Fund,Guinea-Bissau
,200000,United Nations Children's Fund,Senegal
,127942,United Nations Children's Fund,
,176702,World Food Programme,
,23476,World Food Programme,
,207226,International Rescue Committee,Mali
,270416,Norwegian Refugee Council,Liberia
,687758,Médecins sans Frontières,Liberia
,47020,Swedish Civil Contingencies Agency (MSB),Sierra Leone
,104648,Swedish Civil Contingencies Agency (MSB),Liberia
,44963,Swedish Civil Contingencies Agency (MSB),Sierra Leone
,306279,Médecins sans Frontières,Guinea
,96286,Swedish Red Cross,Liberia
,187540,International Rescue Committee,Sierra Leone
,89542,Swedish Civil Contingencies Agency (MSB),
,900000,World Health Organization,
,13755158,Swedish Civil Contingencies Agency (MSB),
,16988,Swedish Civil Contingencies Agency (MSB),Ghana
,96294,Save the Children,Guinea
,137552,Swedish Red Cross,Guinea
,11333,World Food Programme,
,220622,Swedish Civil Contingencies Agency (MSB),Sierra Leone
,2865330,World Health Organization,
,57321,World Food Programme,
,50965,Swedish Civil Contingencies Agency (MSB),Senegal
,4300000,World Health Organization,
,432239,Plan International,Sierra Leone
,47567,Swedish Civil Contingencies Agency (MSB),Liberia
,73348,World Food Programme,
,51579,Swedish Civil Contingencies Agency (MSB),Sierra Leone
,6895619,Swedish Civil Contingencies Agency (MSB),Liberia
,72046,World Food Programme,
,275103,Plan International,Guinea
,12851,Red Cross Organizations | UN Agencies | NGOs,
,81638,Swedish Civil Contingencies Agency (MSB),Liberia
,687758,Médecins sans Frontières,Sierra Leone
,1359065,Swedish Red Cross,
,23877,World Food Programme,
,23877,World Food Programme,
,23877,World Food Programme,
,1689148,Swedish Civil Contingencies Agency (MSB),Liberia
,299596,International Rescue Committee,Liberia
,56401,Swedish Civil Contingencies Agency (MSB),Sierra Leone
,57760,Swedish Civil Contingencies Agency (MSB),Sierra Leone
,13217001,Ebola Response Multi-Partner Trust Fund,
,46951,World Food Programme,
,687758,Médecins sans Frontières,Liberia
,325000,OXFAM,Sierra Leone
,325000,OXFAM,Liberia
,3240000,United Nations Children's Fund,Guinea
,3240000,United Nations Children's Fund,Liberia
,828740,United Nations Children's Fund,Mali
,3240000,United Nations Children's Fund,Sierra Leone
,1620000,United Nations Children's Fund,
,345256,Save the Children,Liberia
,238227,Swedish Civil Contingencies Agency (MSB),
,1242922,Swedish Civil Contingencies Agency (MSB),Liberia
,1491507,Plan International,
,1381025,Swedish Red Cross,
,828615,Action Contre la Faim,
,496478,International Rescue Committee,Liberia
,114168,Swedish Civil Contingencies Agency (MSB),Sierra Leone
,1519127,Save the Children,
Switzerland,31597903,,
,563323,,
,395137,,
,1013171,,Guinea
,202634,UN Mission for Ebola Emergency Response,Liberia
,320652,OXFAM,Liberia
,682500,NGOs (details not yet provided),Liberia
,525000,Médecins sans Frontières - Switzerland,Liberia
,21858,United Nations Children's Fund,Liberia
,308642,Danish Refugee Council,Liberia
,113400,World Food Programme,Sierra Leone
,164325,,Liberia
,1260000,Food & Agriculture Organization of the United Nations,Liberia
,1050000,Terre des Hommes International,Guinea
,1575000,"Liberia, Government of",Liberia
,206398,United Nations Children's Fund,Mali
,,United Nations Children's Fund,
,162851,,Liberia
,162851,Private (individuals & organizations),Liberia
,76275,Private (individuals & organizations),Liberia
,4927079,Ebola Response Multi-Partner Trust Fund,
,1052632,World Food Programme,
,1052632,World Food Programme,
,48343,World Food Programme,
,76197,World Food Programme,
,972825,"Liberia, Government of",Liberia
,309750,"Liberia, Government of",Liberia
,309598,World Food Programme,
,1092896,World Food Programme,
,1050000,Médecins sans Frontières - Switzerland,Liberia
,3095975,World Food Programme,
,315000,Swiss Red Cross,
,515996,United Nations Children's Fund,Guinea
,515996,United Nations Children's Fund,Liberia
,515996,United Nations Children's Fund,Sierra Leone
,3150000,International Committee of the Red Cross,Liberia
,722394,World Food Programme,
,83247,Medica Mondiale,Liberia
,76275,Public Health Initiative Liberia,Liberia
,257998,World Food Programme,Liberia
,51600,World Food Programme,Liberia
,2601457,International Federation of Red Cross and Red Crescent Societies,
Thailand,152905,World Health Organization,
,1000000,,
,1000000,,
Togo,1581,Ebola Response Multi-Partner Trust Fund,
Turkey,1261708,,
,50000,,Guinea
,51000,Turkish Red Crescent Society,
,1160708,,
United Arab Emirates,5104423,,
,3000000,United Nations Children's Fund,Guinea
,1000000,United Nations Children's Fund,Liberia
,1000000,United Nations Children's Fund,Sierra Leone
,15029,,Liberia
,1503,,Liberia
,5010,,Liberia
,14824,,Liberia
,32448,,Niger
,14277,,Sierra Leone
,1403,,Sierra Leone
,6403,,Niger
,13526,,Sierra Leone
United Kingdom,511437355,,
,317850,World Health Organization,Sierra Leone
,1233047,World Health Organization,Kenya
,2413314,International Organization for Migration,Sierra Leone
,143698294,Red Cross Organizations | NGOs | UN Agencies,
,3055901,"Sierra Leone, Government of",Sierra Leone
,25642970,"Sierra Leone, Government of",Sierra Leone
,812921,United Nations Children's Fund,Sierra Leone
,331675,,Liberia
,497512,,Sierra Leone
,1658375,International Rescue Committee,Sierra Leone
,1658375,International Federation of Red Cross and Red Crescent Societies,Sierra Leone
,1243781,Médecins sans Frontières,Sierra Leone
,22907539,United Nations Children's Fund,Sierra Leone
,6979912,United Nations Children's Fund,Sierra Leone
,3856204,United Nations Children's Fund,Sierra Leone
,844595,World Health Organization,
,10060032,"Sierra Leone, Government of",Sierra Leone
,5199052,"Sierra Leone, Government of",Sierra Leone
,10922360,"Sierra Leone, Government of",Sierra Leone
,465839,Emergency ONG,Sierra Leone
,3200000,GOAL,Sierra Leone
,3520000,"Sierra Leone, Government of",Sierra Leone
,,,Sierra Leone
,67300,World Food Programme,
,,,Sierra Leone
,71529,World Food Programme,
,2835741,United Nations Children's Fund,Sierra Leone
,1310959,"Sierra Leone, Government of",Sierra Leone
,140296,Save the Children,Sierra Leone
,2641265,Plan International,Sierra Leone
,105541,Médecins sans Frontières,Sierra Leone
,11381618,GOAL,Sierra Leone
,10330004,International Rescue Committee,Sierra Leone
,1717959,International Federation of Red Cross and Red Crescent Societies,Sierra Leone
,3332442,EMERGENCY - Life Support for Civilian War Victims ONG Onlus,Sierra Leone
,38093,Assessment Capacities Project,Sierra Leone
,8530806,"Sierra Leone, Government of",Sierra Leone
,781250,Office for the Coordination of Humanitarian Affairs,
,21923520,"Sierra Leone, Government of",Sierra Leone
,199060,World Food Programme,
,8116883,GOAL,Sierra Leone
,4863945,"Sierra Leone, Government of",Sierra Leone
,3733766,International Federation of Red Cross and Red Crescent Societies,Sierra Leone
,11543473,United Nations Children's Fund,Sierra Leone
,9760000,International Federation of Red Cross and Red Crescent Societies,Sierra Leone
,7200000,,Sierra Leone
,2080000,"Sierra Leone, Government of",Sierra Leone
,3536000,Plan International,Sierra Leone
,78972,World Food Programme,
,8116883,Save the Children,Sierra Leone
,74923,World Food Programme,
,73276,World Food Programme,
,,,Sierra Leone
,3940127,NGOs | Red Cross Organizations | UN Agencies,
,149023,World Food Programme,
,8451200,"Sierra Leone, Government of",Sierra Leone
,6655844,International Federation of Red Cross and Red Crescent Societies,Sierra Leone
,1542208,,Sierra Leone
,6436800,"Sierra Leone, Government of",Sierra Leone
,4201600,International Organization for Migration,Sierra Leone
,480000,Assessment Capacities Project,Sierra Leone
,7763975,,Sierra Leone
,1986025,United Nations Children's Fund,Sierra Leone
,305590,"Sierra Leone, Government of",Sierra Leone
,13712733,"Sierra Leone, Government of",Sierra Leone
,4566770,Save the Children,Sierra Leone
,35056872,"Sierra Leone, Government of",Sierra Leone
,7898894,CAIPA,Sierra Leone
,366509,UN Mission for Ebola Emergency Response,Sierra Leone
